year,Value,country_code,indicator
2022,13.3868808148699,BDI,NE.GDI.TOTL.ZS
2021,13.1126199999271,BDI,NE.GDI.TOTL.ZS
2024,,BEL,NE.GDI.TOTL.ZS
2023,25.3297303497481,BEL,NE.GDI.TOTL.ZS
2022,26.9367445571203,BEL,NE.GDI.TOTL.ZS
2021,24.4424761552435,BEL,NE.GDI.TOTL.ZS
2024,,BEN,NE.GDI.TOTL.ZS
2023,40.4710649028638,BEN,NE.GDI.TOTL.ZS
2022,36.5257943461198,BEN,NE.GDI.TOTL.ZS
2021,28.8506183177663,BEN,NE.GDI.TOTL.ZS
2024,,BFA,NE.GDI.TOTL.ZS
2023,22.5438564249502,BFA,NE.GDI.TOTL.ZS
2022,17.4975778095309,BFA,NE.GDI.TOTL.ZS
2021,15.5079014507343,BFA,NE.GDI.TOTL.ZS
2024,,BGD,NE.GDI.TOTL.ZS
2023,30.9512000834944,BGD,NE.GDI.TOTL.ZS
2022,32.047275580905,BGD,NE.GDI.TOTL.ZS
2021,31.0187387357172,BGD,NE.GDI.TOTL.ZS
2024,,BGR,NE.GDI.TOTL.ZS
2023,19.749565552763,BGR,NE.GDI.TOTL.ZS
2022,22.6868124930814,BGR,NE.GDI.TOTL.ZS
2021,20.6962006537931,BGR,NE.GDI.TOTL.ZS
2024,,BHR,NE.GDI.TOTL.ZS
2023,28.9929660747442,BHR,NE.GDI.TOTL.ZS
2022,24.9487375390486,BHR,NE.GDI.TOTL.ZS
2021,28.0923578658915,BHR,NE.GDI.TOTL.ZS
2024,,BHS,NE.GDI.TOTL.ZS
2023,20.6869616766049,BHS,NE.GDI.TOTL.ZS
2022,21.825614323559,BHS,NE.GDI.TOTL.ZS
2021,24.357677523771,BHS,NE.GDI.TOTL.ZS
2024,,BIH,NE.GDI.TOTL.ZS
2023,26.398432441318,BIH,NE.GDI.TOTL.ZS
2022,27.423549920209,BIH,NE.GDI.TOTL.ZS
2021,26.0821780084725,BIH,NE.GDI.TOTL.ZS
2024,,BLR,NE.GDI.TOTL.ZS
2023,24.0905264823788,BLR,NE.GDI.TOTL.ZS
2022,21.5979064833979,BLR,NE.GDI.TOTL.ZS
2021,24.3805087093437,BLR,NE.GDI.TOTL.ZS
