ano,topic_code,pais,codigo_pais
2024,,Algeria,DZ
2023,46164219.0,Algeria,DZ
2022,45477389.0,Algeria,DZ
2021,44761099.0,Algeria,DZ
2020,44042091.0,Algeria,DZ
2019,43294546.0,Algeria,DZ
2018,42505035.0,Algeria,DZ
2017,41689299.0,Algeria,DZ
2016,40850721.0,Algeria,DZ
2015,40019529.0,Algeria,DZ
2014,39205031.0,Algeria,DZ
2013,38414171.0,Algeria,DZ
2012,37646166.0,Algeria,DZ
2011,36903376.0,Algeria,DZ
2010,36188236.0,Algeria,DZ
2009,35490445.0,Algeria,DZ
2008,34816961.0,Algeria,DZ
2007,34189416.0,Algeria,DZ
2006,33623506.0,Algeria,DZ
2005,33109249.0,Algeria,DZ
2004,32628286.0,Algeria,DZ
2003,32175818.0,Algeria,DZ
2002,31750835.0,Algeria,DZ
2001,31331221.0,Algeria,DZ
2000,30903893.0,Algeria,DZ
