ano,topic_code,pais,codigo_pais
2024,,Faroe Islands,FO
2023,54482.0,Faroe Islands,FO
2022,53952.0,Faroe Islands,FO
2021,53315.0,Faroe Islands,FO
2020,52571.0,Faroe Islands,FO
2019,51795.0,Faroe Islands,FO
2018,50998.0,Faroe Islands,FO
2017,50182.0,Faroe Islands,FO
2016,49464.0,Faroe Islands,FO
2015,48901.0,Faroe Islands,FO
2014,48428.0,Faroe Islands,FO
2013,48246.0,Faroe Islands,FO
2012,48291.0,Faroe Islands,FO
2011,48543.0,Faroe Islands,FO
2010,48657.0,Faroe Islands,FO
2009,48791.0,Faroe Islands,FO
2008,48547.0,Faroe Islands,FO
2007,48378.0,Faroe Islands,FO
2006,48335.0,Faroe Islands,FO
2005,48359.0,Faroe Islands,FO
2004,48384.0,Faroe Islands,FO
2003,48032.0,Faroe Islands,FO
2002,47335.0,Faroe Islands,FO
2001,46635.0,Faroe Islands,FO
2000,45754.0,Faroe Islands,FO
