ano,topic_code,pais,codigo_pais
2024,,Spain,ES
2023,48347910.0,Spain,ES
2022,47759127.0,Spain,ES
2021,47415794.0,Spain,ES
2020,47365655.0,Spain,ES
2019,47134837.0,Spain,ES
2018,46797754.0,Spain,ES
2017,46593236.0,Spain,ES
2016,46484062.0,Spain,ES
2015,46444832.0,Spain,ES
2014,46480882.0,Spain,ES
2013,46620045.0,Spain,ES
2012,46773055.0,Spain,ES
2011,46742697.0,Spain,ES
2010,46576897.0,Spain,ES
2009,46362946.0,Spain,ES
2008,45954106.0,Spain,ES
2007,45226803.0,Spain,ES
2006,44397319.0,Spain,ES
2005,43653155.0,Spain,ES
2004,42921895.0,Spain,ES
2003,42187645.0,Spain,ES
2002,41431558.0,Spain,ES
2001,40850412.0,Spain,ES
2000,40567864.0,Spain,ES
