ano,topic_code,pais,codigo_pais
2024,,American Samoa,AS
2023,47521.0,American Samoa,AS
2022,48342.0,American Samoa,AS
2021,49225.0,American Samoa,AS
2020,49761.0,American Samoa,AS
2019,50209.0,American Samoa,AS
2018,50908.0,American Samoa,AS
2017,51586.0,American Samoa,AS
2016,52245.0,American Samoa,AS
2015,52878.0,American Samoa,AS
2014,53466.0,American Samoa,AS
2013,54006.0,American Samoa,AS
2012,54489.0,American Samoa,AS
2011,54895.0,American Samoa,AS
2010,55228.0,American Samoa,AS
2009,55528.0,American Samoa,AS
2008,55828.0,American Samoa,AS
2007,56113.0,American Samoa,AS
2006,56374.0,American Samoa,AS
2005,56617.0,American Samoa,AS
2004,56818.0,American Samoa,AS
2003,56971.0,American Samoa,AS
2002,57062.0,American Samoa,AS
2001,57053.0,American Samoa,AS
2000,56855.0,American Samoa,AS
