ano,topic_code,pais,codigo_pais
2024,,Bermuda,BM
2023,64698.0,Bermuda,BM
2022,64749.0,Bermuda,BM
2021,64648.0,Bermuda,BM
2020,64382.0,Bermuda,BM
2019,64107.0,Bermuda,BM
2018,63831.0,Bermuda,BM
2017,63578.0,Bermuda,BM
2016,63449.0,Bermuda,BM
2015,63464.0,Bermuda,BM
2014,63529.0,Bermuda,BM
2013,63574.0,Bermuda,BM
2012,63646.0,Bermuda,BM
2011,63733.0,Bermuda,BM
2010,63725.0,Bermuda,BM
2009,63565.0,Bermuda,BM
2008,63300.0,Bermuda,BM
2007,63010.0,Bermuda,BM
2006,62834.0,Bermuda,BM
2005,62711.0,Bermuda,BM
2004,62555.0,Bermuda,BM
2003,62386.0,Bermuda,BM
2002,62142.0,Bermuda,BM
2001,61867.0,Bermuda,BM
2000,61550.0,Bermuda,BM
