ano,topic_code,pais,codigo_pais
2024,,Central African Republic,CF
2023,57.408,Central African Republic,CF
2022,18.818,Central African Republic,CF
2021,40.279,Central African Republic,CF
2020,50.596,Central African Republic,CF
2019,31.53,Central African Republic,CF
2018,52.297,Central African Republic,CF
2017,45.231,Central African Republic,CF
2016,50.999,Central African Republic,CF
2015,51.934,Central African Republic,CF
2014,40.265,Central African Republic,CF
2013,49.487,Central African Republic,CF
2012,51.336,Central African Republic,CF
2011,50.107,Central African Republic,CF
2010,46.871,Central African Republic,CF
2009,14.665,Central African Republic,CF
2008,49.873,Central African Republic,CF
2007,49.327,Central African Republic,CF
2006,48.687,Central African Republic,CF
2005,48.207,Central African Republic,CF
2004,47.696,Central African Republic,CF
2003,47.306,Central African Republic,CF
2002,46.84,Central African Republic,CF
2001,46.734,Central African Republic,CF
2000,46.609,Central African Republic,CF
