ano,topic_code,pais,codigo_pais
2024,,Ethiopia,ET
2023,6.49813464238613,Ethiopia,ET
2022,5.32117628383672,Ethiopia,ET
2021,5.64153071734657,Ethiopia,ET
2020,6.05953088643369,Ethiopia,ET
2019,8.3640856990789,Ethiopia,ET
2018,6.81614779681703,Ethiopia,ET
2017,9.56418964295607,Ethiopia,ET
2016,9.43348265784402,Ethiopia,ET
2015,10.3924630202334,Ethiopia,ET
2014,10.2574929610051,Ethiopia,ET
2013,10.5822700482672,Ethiopia,ET
2012,8.64781163337416,Ethiopia,ET
2011,11.1782962271641,Ethiopia,ET
2010,12.5505383459308,Ethiopia,ET
2009,8.80255319782566,Ethiopia,ET
2008,10.7885216853725,Ethiopia,ET
2007,11.4561670000236,Ethiopia,ET
2006,10.834727065877,Ethiopia,ET
2005,11.8187659466494,Ethiopia,ET
2004,13.5726031368695,Ethiopia,ET
2003,-2.16135972205798,Ethiopia,ET
2002,1.51472570631101,Ethiopia,ET
2001,8.30130632052328,Ethiopia,ET
2000,6.07321747957957,Ethiopia,ET
