ano,topic_code,pais,codigo_pais
2024,,Czechia,CZ
2023,-0.085330275927376,Czechia,CZ
2022,2.84717065717149,Czechia,CZ
2021,4.02901830633854,Czechia,CZ
2020,-5.30487954551279,Czechia,CZ
2019,3.56577657204843,Czechia,CZ
2018,2.83030589412112,Czechia,CZ
2017,5.17356528805017,Czechia,CZ
2016,2.58087014675783,Czechia,CZ
2015,4.95875849031782,Czechia,CZ
2014,2.24521218606488,Czechia,CZ
2013,-0.0418124078092319,Czechia,CZ
2012,-0.770668176495519,Czechia,CZ
2011,1.77238083691023,Czechia,CZ
2010,2.71466511501851,Czechia,CZ
2009,-4.79832416832794,Czechia,CZ
2008,2.61226805242944,Czechia,CZ
2007,5.48882596113995,Czechia,CZ
2006,6.62317298453949,Czechia,CZ
2005,6.37502885831655,Czechia,CZ
2004,4.73633970443348,Czechia,CZ
2003,3.30083683069202,Czechia,CZ
2002,1.51345948276807,Czechia,CZ
2001,2.91721954577413,Czechia,CZ
2000,4.01066961867447,Czechia,CZ
