ano,topic_code,pais,codigo_pais
2024,,"Congo, Dem. Rep.",CD
2023,8.56086250904089,"Congo, Dem. Rep.",CD
2022,8.92444762563109,"Congo, Dem. Rep.",CD
2021,6.20015401075946,"Congo, Dem. Rep.",CD
2020,1.73542276681493,"Congo, Dem. Rep.",CD
2019,4.38452887429834,"Congo, Dem. Rep.",CD
2018,5.82112109969025,"Congo, Dem. Rep.",CD
2017,3.7269476588301,"Congo, Dem. Rep.",CD
2016,2.39939891133452,"Congo, Dem. Rep.",CD
2015,6.91616711922561,"Congo, Dem. Rep.",CD
2014,9.4702880993101,"Congo, Dem. Rep.",CD
2013,8.48195663608755,"Congo, Dem. Rep.",CD
2012,7.08689894671942,"Congo, Dem. Rep.",CD
2011,6.8746708900163,"Congo, Dem. Rep.",CD
2010,7.10797657581392,"Congo, Dem. Rep.",CD
2009,2.85506401011484,"Congo, Dem. Rep.",CD
2008,6.22589426869193,"Congo, Dem. Rep.",CD
2007,6.25947776437397,"Congo, Dem. Rep.",CD
2006,5.32097956548998,"Congo, Dem. Rep.",CD
2005,6.13515115548972,"Congo, Dem. Rep.",CD
2004,6.73837393324294,"Congo, Dem. Rep.",CD
2003,5.57782231144424,"Congo, Dem. Rep.",CD
2002,2.94776518359767,"Congo, Dem. Rep.",CD
2001,-2.10017302488846,"Congo, Dem. Rep.",CD
2000,-6.91092731652101,"Congo, Dem. Rep.",CD
