ano,topic_code,pais,codigo_pais
2024,,Dominican Republic,DO
2023,2.36061568723294,Dominican Republic,DO
2022,4.85832403582451,Dominican Republic,DO
2021,12.2719902347896,Dominican Republic,DO
2020,-6.72023937283404,Dominican Republic,DO
2019,5.05216802016253,Dominican Republic,DO
2018,6.98252758458058,Dominican Republic,DO
2017,4.66670467732366,Dominican Republic,DO
2016,6.65920026269582,Dominican Republic,DO
2015,6.9270187716221,Dominican Republic,DO
2014,7.05046368965911,Dominican Republic,DO
2013,4.87520509332271,Dominican Republic,DO
2012,2.71736789670562,Dominican Republic,DO
2011,3.13342300326755,Dominican Republic,DO
2010,8.33965105962218,Dominican Republic,DO
2009,0.946155167790621,Dominican Republic,DO
2008,3.20950426157958,Dominican Republic,DO
2007,7.41595171481455,Dominican Republic,DO
2006,9.1743554058408,Dominican Republic,DO
2005,9.4282369467968,Dominican Republic,DO
2004,2.57013427930197,Dominican Republic,DO
2003,-1.34570618506442,Dominican Republic,DO
2002,4.49510340292099,Dominican Republic,DO
2001,2.45951636772918,Dominican Republic,DO
2000,4.6617622800146,Dominican Republic,DO
