ano,topic_code,pais,codigo_pais
2024,,Barbados,BB
2023,,Barbados,BB
2022,,Barbados,BB
2021,,Barbados,BB
2020,,Barbados,BB
2019,,Barbados,BB
2018,,Barbados,BB
2017,,Barbados,BB
2016,,Barbados,BB
2015,12.1299016589554,Barbados,BB
2014,,Barbados,BB
2013,,Barbados,BB
2012,,Barbados,BB
2011,,Barbados,BB
2010,11.741413476603,Barbados,BB
2009,,Barbados,BB
2008,,Barbados,BB
2007,,Barbados,BB
2006,,Barbados,BB
2005,11.1761120822735,Barbados,BB
2004,,Barbados,BB
2003,,Barbados,BB
2002,,Barbados,BB
2001,,Barbados,BB
2000,10.5337276439938,Barbados,BB
