ano,topic_code,pais,codigo_pais
2024,,Afghanistan,AF
2023,,Afghanistan,AF
2022,,Afghanistan,AF
2021,,Afghanistan,AF
2020,,Afghanistan,AF
2019,,Afghanistan,AF
2018,,Afghanistan,AF
2017,,Afghanistan,AF
2016,,Afghanistan,AF
2015,382365.0,Afghanistan,AF
2014,,Afghanistan,AF
2013,,Afghanistan,AF
2012,,Afghanistan,AF
2011,,Afghanistan,AF
2010,102246.0,Afghanistan,AF
2009,,Afghanistan,AF
2008,,Afghanistan,AF
2007,,Afghanistan,AF
2006,,Afghanistan,AF
2005,87300.0,Afghanistan,AF
2004,,Afghanistan,AF
2003,,Afghanistan,AF
2002,,Afghanistan,AF
2001,,Afghanistan,AF
2000,75917.0,Afghanistan,AF
