ano,topic_code,pais,codigo_pais
2024,,Azerbaijan,AZ
2023,,Azerbaijan,AZ
2022,,Azerbaijan,AZ
2021,,Azerbaijan,AZ
2020,,Azerbaijan,AZ
2019,,Azerbaijan,AZ
2018,,Azerbaijan,AZ
2017,,Azerbaijan,AZ
2016,,Azerbaijan,AZ
2015,264241.0,Azerbaijan,AZ
2014,,Azerbaijan,AZ
2013,,Azerbaijan,AZ
2012,,Azerbaijan,AZ
2011,,Azerbaijan,AZ
2010,276901.0,Azerbaijan,AZ
2009,,Azerbaijan,AZ
2008,,Azerbaijan,AZ
2007,,Azerbaijan,AZ
2006,,Azerbaijan,AZ
2005,302220.0,Azerbaijan,AZ
2004,,Azerbaijan,AZ
2003,,Azerbaijan,AZ
2002,,Azerbaijan,AZ
2001,,Azerbaijan,AZ
2000,327540.0,Azerbaijan,AZ
