Country_ID,ISO3_Code,Country,Region,Income_Level,Lending_Type,Capital,Latitude,Longitude,Continent
20,BHR,Bahrain,Middle East & North Africa,High income,Not classified,Manama,26.1921,50.5354,Asia
21,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified,Nassau,25.0661,-77.339,North America
22,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD,Sarajevo,43.8607,18.4214,Europe
23,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,Minsk,53.9678,27.5766,Europe
24,BLZ,Belize,Latin America & Caribbean ,Upper middle income,Blend,Belmopan,17.2534,-88.7713,North America
25,BMU,Bermuda,North America,High income,Not classified,Hamilton,32.3293,-64.706,North America
26,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD,La Paz,-13.9908,-66.1936,South America
27,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,Brasilia,-15.7801,-47.9292,South America
28,BRB,Barbados,Latin America & Caribbean ,High income,IBRD,Bridgetown,13.0935,-59.6105,North America
29,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified,Bandar Seri Begawan,4.94199,114.946,Asia
30,BTN,Bhutan,South Asia,Lower middle income,IDA,Thimphu,27.5768,89.6177,Asia
31,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD,Gaborone,-24.6544,25.9201,Africa
32,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA,Bangui,5.63056,21.6407,Africa
33,CAN,Canada,North America,High income,Not classified,Ottawa,45.4215,-75.6919,North America
34,CHE,Switzerland,Europe & Central Asia,High income,Not classified,Bern,46.948,7.44821,Europe
35,CHI,Channel Islands,Europe & Central Asia,High income,Not classified,St. Helier,49.3723,-2.3644,North America
36,CHL,Chile,Latin America & Caribbean ,High income,IBRD,Santiago,-33.475,-70.6475,South America
37,CHN,China,East Asia & Pacific,Upper middle income,IBRD,Beijing,40.0495,116.286,Asia
38,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA,Yamoussoukro,5.332,-4.0305,Africa
39,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend,Yaounde,3.8721,11.5174,Africa
40,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA,Kinshasa,-4.325,15.3222,Africa
41,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend,Brazzaville,-4.2767,15.2662,Africa
42,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,Bogota,4.60987,-74.082,South America
43,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA,Moroni,-11.6986,43.2418,Africa
44,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend,Praia,14.9218,-23.5087,Africa
45,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD,San Jose,9.63701,-84.0089,North America
46,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified,Havana,23.1333,-82.3667,North America
47,CUW,Curacao,Latin America & Caribbean ,High income,Not classified,Willemstad,12.1696,-68.99,North America
48,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified,George Town,19.3022,-81.3857,North America
49,CYP,Cyprus,Europe & Central Asia,High income,Not classified,Nicosia,35.1676,33.3736,Asia
50,CZE,Czechia,Europe & Central Asia,High income,Not classified,Prague,50.0878,14.4205,Europe
51,DEU,Germany,Europe & Central Asia,High income,Not classified,Berlin,52.5235,13.4115,Europe
52,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA,Djibouti,11.5806,43.1425,Africa
53,DMA,Dominica,Latin America & Caribbean ,Upper middle income,Blend,Roseau,15.2976,-61.39,North America
54,DNK,Denmark,Europe & Central Asia,High income,Not classified,Copenhagen,55.6763,12.5681,Europe
55,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD,Santo Domingo,18.479,-69.8908,North America
56,DZA,Algeria,Middle East & North Africa,Upper middle income,IBRD,Algiers,36.7397,3.05097,Africa
57,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD,Quito,-0.229498,-78.5243,South America
58,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD,Cairo,30.0982,31.2461,Africa
59,ERI,Eritrea,Sub-Saharan Africa ,Low income,IDA,Asmara,15.3315,38.9183,Africa
60,ESP,Spain,Europe & Central Asia,High income,Not classified,Madrid,40.4167,-3.70327,Europe
61,EST,Estonia,Europe & Central Asia,High income,Not classified,Tallinn,59.4392,24.7586,Europe
62,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA,Addis Ababa,9.02274,38.7468,Africa
63,FIN,Finland,Europe & Central Asia,High income,Not classified,Helsinki,60.1608,24.9525,Europe
64,FJI,Fiji,East Asia & Pacific,Upper middle income,Blend,Suva,-18.1149,178.399,Oceania
65,FRA,France,Europe & Central Asia,High income,Not classified,Paris,48.8566,2.35097,Europe
66,FRO,Faroe Islands,Europe & Central Asia,High income,Not classified,Torshavn,61.8926,-6.91181,Europe
67,FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,IDA,Palikir,6.91771,158.185,Oceania
68,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD,Libreville,0.38832,9.45162,Africa
69,GBR,United Kingdom,Europe & Central Asia,High income,Not classified,London,51.5002,-0.126236,Europe
70,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD,Tbilisi,41.71,44.793,Asia
71,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA,Accra,5.57045,-0.20795,Africa
72,GIB,Gibraltar,Europe & Central Asia,High income,Not classified,Gibraltar,36.1408,-5.3536,Europe
73,GIN,Guinea,Sub-Saharan Africa ,Lower middle income,IDA,Conakry,9.51667,-13.7,Africa
74,GMB,"Gambia, The",Sub-Saharan Africa ,Low income,IDA,Banjul,13.4495,-16.5885,Africa
75,GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,IDA,Bissau,11.8037,-15.1804,Africa
76,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD,Malabo,3.7523,8.7741,Africa
77,GRC,Greece,Europe & Central Asia,High income,Not classified,Athens,37.9792,23.7166,Europe
78,GRD,Grenada,Latin America & Caribbean ,Upper middle income,Blend,Saint George's,12.0653,-61.7449,North America
79,GRL,Greenland,Europe & Central Asia,High income,Not classified,Nuuk,64.1836,-51.7214,North America
80,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD,Guatemala City,14.6248,-90.5328,North America
81,GUM,Guam,East Asia & Pacific,High income,Not classified,Agana,13.4443,144.794,Oceania
82,GUY,Guyana,Latin America & Caribbean ,High income,IDA,Georgetown,6.80461,-58.1548,South America
83,HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Not classified,Hong Kong,22.3964,114.109,Asia
84,HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA,Tegucigalpa,15.1333,-87.4667,North America
85,HRV,Croatia,Europe & Central Asia,High income,IBRD,Zagreb,45.8069,15.9614,Europe
86,HTI,Haiti,Latin America & Caribbean ,Lower middle income,IDA,Port-au-Prince,18.5392,-72.3288,North America
87,HUN,Hungary,Europe & Central Asia,High income,Not classified,Budapest,47.4984,19.0408,Europe
88,IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD,Jakarta,-6.19752,106.83,Asia
89,IMN,Isle of Man,Europe & Central Asia,High income,Not classified,Douglas,54.1509,-4.47928,Europe
90,IND,India,South Asia,Lower middle income,IBRD,New Delhi,28.6353,77.225,Asia
91,IRL,Ireland,Europe & Central Asia,High income,Not classified,Dublin,53.3441,-6.26749,Europe
92,IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,IBRD,Tehran,35.6878,51.4447,Asia
93,IRQ,Iraq,Middle East & North Africa,Upper middle income,IBRD,Baghdad,33.3302,44.394,Asia
94,ISL,Iceland,Europe & Central Asia,High income,Not classified,Reykjavik,64.1353,-21.8952,Europe
95,ISR,Israel,Middle East & North Africa,High income,Not classified,Jerusalem,31.7717,35.2035,Asia
96,ITA,Italy,Europe & Central Asia,High income,Not classified,Rome,41.8955,12.4823,Europe
97,JAM,Jamaica,Latin America & Caribbean ,Upper middle income,IBRD,Kingston,17.9927,-76.792,North America
98,JOR,Jordan,Middle East & North Africa,Lower middle income,IBRD,Amman,31.9497,35.9263,Asia
99,JPN,Japan,East Asia & Pacific,High income,Not classified,Tokyo,35.67,139.77,Asia
100,KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,IBRD,Astana,51.1879,71.4382,Asia
101,KEN,Kenya,Sub-Saharan Africa ,Lower middle income,Blend,Nairobi,-1.27975,36.8126,Africa
102,KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,IDA,Bishkek,42.8851,74.6057,Asia
103,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA,Phnom Penh,11.5556,104.874,Asia
104,KIR,Kiribati,East Asia & Pacific,Lower middle income,IDA,Tarawa,1.32905,172.979,Oceania
105,KNA,St. Kitts and Nevis,Latin America & Caribbean ,High income,IBRD,Basseterre,17.3,-62.7309,North America
106,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified,Seoul,37.5323,126.957,Asia
107,KWT,Kuwait,Middle East & North Africa,High income,Not classified,Kuwait City,29.3721,47.9824,Asia
108,LAO,Lao PDR,East Asia & Pacific,Lower middle income,IDA,Vientiane,18.5826,102.177,Asia
109,LBN,Lebanon,Middle East & North Africa,Lower middle income,IBRD,Beirut,33.8872,35.5134,Asia
110,LBR,Liberia,Sub-Saharan Africa ,Low income,IDA,Monrovia,6.30039,-10.7957,Africa
111,LBY,Libya,Middle East & North Africa,Upper middle income,IBRD,Tripoli,32.8578,13.1072,Africa
112,LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,Blend,Castries,14.0,-60.9832,North America
113,LIE,Liechtenstein,Europe & Central Asia,High income,Not classified,Vaduz,47.1411,9.52148,Europe
114,LKA,Sri Lanka,South Asia,Lower middle income,IDA,Colombo,6.92148,79.8528,Asia
115,LSO,Lesotho,Sub-Saharan Africa ,Lower middle income,IDA,Maseru,-29.5208,27.7167,Africa
116,LTU,Lithuania,Europe & Central Asia,High income,Not classified,Vilnius,54.6896,25.2799,Europe
117,LUX,Luxembourg,Europe & Central Asia,High income,Not classified,Luxembourg,49.61,6.1296,Europe
118,LVA,Latvia,Europe & Central Asia,High income,Not classified,Riga,56.9465,24.1048,Europe
119,MAC,"Macao SAR, China",East Asia & Pacific,High income,Not classified,Macao,22.1667,113.55,Asia
120,MAF,St. Martin (French part),Latin America & Caribbean ,High income,Not classified,Marigot,18.0708,-63.0501,North America
