ano,topic_code,pais,codigo_pais
2024,,Switzerland,CH
2023,62.8900497858346,Switzerland,CH
2022,63.2339333939957,Switzerland,CH
2021,58.9686066461085,Switzerland,CH
2020,57.690420839636,Switzerland,CH
2019,57.1622185006251,Switzerland,CH
2018,56.950318222608,Switzerland,CH
2017,57.2733173133041,Switzerland,CH
2016,56.7481985878047,Switzerland,CH
2015,53.3095264649732,Switzerland,CH
2014,54.8761532535459,Switzerland,CH
2013,61.6254947939219,Switzerland,CH
2012,58.6764874108381,Switzerland,CH
2011,59.1063495101378,Switzerland,CH
2010,55.2274952612351,Switzerland,CH
2009,51.7663155605071,Switzerland,CH
2008,53.6486814547979,Switzerland,CH
2007,51.7790432182933,Switzerland,CH
2006,49.6359695603829,Switzerland,CH
2005,48.4069981103808,Switzerland,CH
2004,44.2171091602357,Switzerland,CH
2003,42.6147776748653,Switzerland,CH
2002,43.2222096993316,Switzerland,CH
2001,45.8371414069759,Switzerland,CH
2000,46.4991333355239,Switzerland,CH
