ano,topic_code,pais,codigo_pais
2024,,Barbados,BB
2023,23804.0249914995,Barbados,BB
2022,22164.0260273876,Barbados,BB
2021,18696.7858952957,Barbados,BB
2020,18347.1109131055,Barbados,BB
2019,20583.7265786414,Barbados,BB
2018,20055.915870771,Barbados,BB
2017,19692.7606711615,Barbados,BB
2016,19065.8069800213,Barbados,BB
2015,18954.2913724506,Barbados,BB
2014,19277.9423599235,Barbados,BB
2013,19308.0091116993,Barbados,BB
2012,19034.0708028512,Barbados,BB
2011,19345.9953139542,Barbados,BB
2010,18860.3833703309,Barbados,BB
2009,16294.9099491834,Barbados,BB
2008,17565.6929970592,Barbados,BB
2007,17235.4396434785,Barbados,BB
2006,15619.6005955511,Barbados,BB
2005,14214.4202213572,Barbados,BB
2004,12886.3665272467,Barbados,BB
2003,12075.9587020649,Barbados,BB
2002,11760.4524736133,Barbados,BB
2001,11639.5160522054,Barbados,BB
2000,11674.6736471764,Barbados,BB
